X,Y,Depth
462575.3531,4691679.083,15
457725.5096,4688023.863,1
458442.1169,4698867.642,50
466560.2458,4697155.36,95
459783.4901,4686987.717,80
462365.3961,4692611.71,100
429268.8536,4727158.386,46
430318.1369,4724241.821,45
427968.988,4721637.556,97
433219.4245,4722454.906,14
433556.0034,4729287.616,130
431917.8774,4723479.388,20
440179.1262,4700829.406,162
445043.2027,4708223.314,10
444182.5324,4703319.442,10
440264.2532,4700634.345,187
440980.6063,4709425.656,42
438847.1468,4708077.562,20
437029.8835,4707717.429,146
440335.2512,4707059.051,55
436824.9238,4703986.818,2
463481.9138,4714527.25,86
464566.4379,4711745.558,32
466910.7796,4712730.306,79
467907.562,4708863.836,60
466351.6203,4718732.408,15
467602.6256,4716854.14,43
468096.5283,4721188.719,32
458733.4577,4720608.865,11
456793.644,4718513.895,340
462114.0093,4711557.992,172
463377.8706,4704277.947,80
455431.4355,4711076.313,47
465358.618,4704129.02,200
455434.6768,4711582.162,83
458331.9633,4703374.759,161
456092.6068,4710319.475,57
461675.9111,4710684.384,120
461845.3003,4702046.824,50
454920.569,4711779.804,55
452263.5625,4711402.707,96
441357.1579,4730725.519,20
443823.3522,4729711.75,3
438557.7697,4729478.9,40
438419.9193,4721903.936,26
438578.0552,4723559.045,30
442129.6166,4730629.551,70
446551.2695,4691502.428,131
454660.8932,4699548.173,5
454381.9421,4694960.241,130
456105.0249,4698517.971,60
450505.9721,4700581.957,32
450313.956,4697671.51,60
447257.3725,4700204.757,10
454914.587,4699213.402,152
452400.0286,4699319.544,105
454777.3209,4699183.445,93
454466.4098,4687560.025,3
446130.2567,4689695.035,50
450489.3531,4693398.196,40
454372.3554,4698741.909,50
454622.7435,4690850.138,11
453230.0016,4689169.009,15
442926.5324,4712759.365,40
443438.4379,4716540.074,39
442943.4436,4717592.918,92
432713.9482,4716351.914,56
431823.9389,4717162.639,77
430630.1792,4716742.593,70
429425.0985,4711180.516,25
433270.1626,4718734.162,34
431624.0595,4712133.337,5
428493.4499,4720817.73,20
428907.9456,4717700.881,65
432561.6817,4720851.009,18
453285.244,4712419.853,3
446825.9202,4713095.519,10
445503.3239,4720623.096,30
453172.2382,4711214.539,19
451664.399,4701955.714,22
450979.8124,4705600.276,45
447864.3157,4707137.428,76
449197.815,4710375.657,80
448077.6695,4705451.645,26
459122.7324,4730986.308,16
459564.3041,4731443.322,10
462687.4368,4722773.432,60
464866.202,4724551.1,45
455811.1642,4726993.547,90
459460.6428,4724225.899,119
461133.6678,4730293.004,49
458153.1115,4728589.171,46
459056.4163,4727081.55,163
463091.701,4725149.486,21
459668.125,4728580.172,99
442482.0601,4697845.74,160
442665.0718,4693969.995,46
440659.7766,4697450.73,92
436863.9523,4699973.316,23
433448.4992,4694434.128,30
444092.5352,4697783.311,32
434137.0457,4698354.382,37
429365.5277,4699668.831,23
434903.3582,4699180.057,28
433982.2355,4693090.33,30
434329.2161,4697892.957,81
445752.9887,4692967.559,62
443095.8718,4695493.342,99
429018.1007,4698978.292,50
453699.2052,4725918.47,41
452679.8291,4728939.083,39
449493.2296,4722443.686,7
449872.6027,4726725.543,110
453610.118,4724170.07,17
420863.4645,4712053.127,28
421102.7389,4708817.474,5
424144.8261,4715144.592,30
424939.0426,4707621.331,25
427159.6449,4709818.797,12
411524.1838,4715830.652,20
410665.2811,4711787.955,24
408405.1293,4712668.821,20
411017.3811,4715772.341,54
407589.6529,4717884.086,20
410569.2767,4720445.737,65
407986.3232,4715142.379,25
422467.8227,4735545.179,24
421783.8668,4736765.294,20
421756.0392,4736515.725,28
425446.3801,4736064.571,42
424602.1001,4728669.903,24
421321.0793,4730449.442,84
423620.6897,4725089.826,54
425591.9619,4735233.151,22
422239.7062,4733857.182,20
423972.4841,4729966.292,20
424753.1679,4727079.529,7
419418.8737,4710200.278,32
416257.453,4710237.609,12
413859.5905,4712247.419,62
417206.6741,4711404.684,37
413651.6841,4706885.282,13
415718.5682,4708689.317,57
419277.4631,4710399.349,20
419941.1731,4706618.891,48
410752.7955,4724966.047,38
410650.424,4726559.259,38
407782.4436,4723468.587,24
412109.3761,4723153.209,50
407663.1723,4724087.193,157
409700.9359,4724609.474,29
412355.2053,4696881.655,125
407963.1041,4703030.934,5
412922.1817,4696340.881,10
408682.3656,4701451.23,13
